S NO.,Date,Nifty50_Open,SPOTRATE_CLOSE,SR_OUTPUT,SP500_CLOSE,SP500_OUTPUT,NASDAQ100_CLOSE,NASDAQ_OUTPUT,CRUDE_OIL_CLOSE,CRUDE_OIL_OUTPUT,LSE_CLOSE,LSE_OUTPUT
91,08-03-2022,15747.75,23.81,1.97,4170.62,2.86,13319.38,4.24,123.7,10.57,6982,4.73
92,07-03-2022,15867.95,22.46,2.63,4201.09,3.03,13837.83,1.85,119.4,12.95,7372,5.41
93,04-03-2022,16339.45,20.57,3.24,4328.87,1.33,14035.21,2.7,115.68,8.18,7254,7.22
94,03-03-2022,16723.2,19.69,1.12,4363.49,1.53,14243.69,2.36,107.67,9.53,6984,9.32
95,02-03-2022,16593.1,19.55,2.46,4386.54,1.83,14005.99,2.62,110.6,6.97,6370,2.29
96,28-02-2022,16481.6,18.51,0.49,4373.79,1.71,14237.81,2.05,95.72,4.95,6574,3.06
97,25-02-2022,16515.65,18.66,2.33,4384.62,2.3,14189.16,2.47,91.59,6.2,6476,3.65
98,24-02-2022,16548.9,21,5.73,4288.7,4.38,13974.67,7.07,92.81,9.94,6382,3.02
99,23-02-2022,17194.5,17.84,1.51,4225.5,2.84,13509.43,3.95,92.1,3.6,6540,1.44
100,22-02-2022,16847.95,18.01,2.05,4304.74,2.23,13870.53,2.83,92.35,6.25,6520,3.14
101,21-02-2022,17192.25,18.04,0.45,4342.5,2.05,13940.04,2.52,92.65,5.42,6492,3.64
102,18-02-2022,17236.05,18.17,2.08,4348.87,1.56,14009.54,2.21,91.07,4.08,6620,2.96
103,17-02-2022,17396.55,17.73,0.51,4380.26,1.88,14171.74,2.42,91.76,3.02,6754,2.35
104,16-02-2022,17408.45,16.53,0.54,4475.01,1.35,14603.64,1.73,93.66,5.57,6884,1.4
105,15-02-2022,16933.25,16.22,5.61,4471.07,0.98,14620.82,1.25,92.07,4.97,6930,2.24
106,14-02-2022,17076.15,16.68,0.54,4401.67,1.41,14268.59,1.99,95.46,4.05,6874,3.11
107,11-02-2022,17451,15.52,0.13,4418.64,2.84,14253.84,4.05,93.1,6.13,7038,2.78
108,10-02-2022,17554.1,15.68,0.7,4504.06,2.33,14705.64,2.74,89.88,3.04,7178,3.05
109,09-02-2022,17370.1,15.51,0.06,4587.18,0.95,15056.96,1.26,89.66,2.45,7186,2.83
110,08-02-2022,17279.85,15.25,0,4521.54,1.48,14747.03,2.07,89.36,3.58,6976,4.01
111,07-02-2022,17456.3,15.02,0.47,4483.87,1.13,14571.25,1.99,91.32,2.2,7188,1.68
112,04-02-2022,17590.2,14.9,0.07,4500.54,1.98,14694.35,2.63,92.31,3.44,7144,3.88
